Name,Year,Indicator,Percent,id
Afghanistan,2014,Employment in agriculture (% of total employment) (modeled ILO estimate),0,4
Afghanistan,2015,Employment in agriculture (% of total employment) (modeled ILO estimate),0.082806747,4
Afghanistan,2016,Employment in agriculture (% of total employment) (modeled ILO estimate),0.445067757,4
Afghanistan,2017,Employment in agriculture (% of total employment) (modeled ILO estimate),0.331207246,4
Afghanistan,2018,Employment in agriculture (% of total employment) (modeled ILO estimate),-0.150076741,4
Afghanistan,2014,Refugee population by country or territory of origin,0,4
Afghanistan,2015,Refugee population by country or territory of origin,2.697523755,4
Afghanistan,2016,Refugee population by country or territory of origin,-3.652355109,4
Afghanistan,2017,Refugee population by country or territory of origin,1.076737011,4
Afghanistan,2018,Refugee population by country or territory of origin,3.273889079,4
Afghanistan,2014,Happiness score,0,4
Afghanistan,2015,Happiness score,-6.013990202,4
Afghanistan,2016,Happiness score,6.125870203,4
Afghanistan,2017,Happiness score,1.580418386,4
Afghanistan,2018,Happiness score,-10.39720401,4
Albania,2014,Import unit value index (2000 = 100),0,8
Albania,2015,Import unit value index (2000 = 100),-10.937151,8
Albania,2016,Import unit value index (2000 = 100),-13.76761129,8
Albania,2017,Import unit value index (2000 = 100),-11.87449855,8
Albania,2018,Import unit value index (2000 = 100),-7.661904011,8
Albania,2014,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0,8
Albania,2015,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",3.850396333,8
Albania,2016,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",3.55789037,8
Albania,2017,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",3.35736578,8
Albania,2018,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",3.131093143,8
Albania,2014,Happiness score,0,8
Albania,2015,Happiness score,-6.130266062,8
Albania,2016,Happiness score,-6.352088127,8
Albania,2017,Happiness score,-7.521680513,8
Albania,2018,Happiness score,-4.847757793,8
Algeria,2014,Import volume index (2000 = 100),0,12
Algeria,2015,Import volume index (2000 = 100),7.327704688,12
Algeria,2016,Import volume index (2000 = 100),2.761230532,12
Algeria,2017,Import volume index (2000 = 100),-6.282006248,12
Algeria,2018,Import volume index (2000 = 100),-7.306143108,12
Algeria,2014,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",0,12
Algeria,2015,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",-0.062320487,12
Algeria,2016,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",-0.007253769,12
Algeria,2017,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",0.024636275,12
Algeria,2018,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",0.08550822,12
Algeria,2014,Happiness score,0,12
Algeria,2015,Happiness score,13.38090986,12
Algeria,2016,Happiness score,4.763607448,12
Algeria,2017,Happiness score,-5.537912723,12
Algeria,2018,Happiness score,-7.024087805,12
Argentina,2014,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",0,32
Argentina,2015,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",-0.057120422,32
Argentina,2016,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",-0.275221979,32
Argentina,2017,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",-0.677679772,32
Argentina,2018,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",-1.760402464,32
Argentina,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,32
